Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0	0	     8	1+-0	Clemastine	Galantamine
0	0	     1	3+-NA	Clonidine	Doxepin
0.05	0	    18	2.72+-4.35	Salbutamol	Oxprenolol
0.01	0	     9	6.33+-10.49	Diltiazem	Sirolimus
0	0	     6	1.17+-0.41	Flutamide	Warfarin
0	0	    32	1.56+-1.08	Doxycycline	Insulin Glulisine
0	0	     6	10.17+-15.84	Fluvoxamine	Frovatriptan
0	0	     3	1.67+-0.58	Fludrocortisone	Primidone
0	0	    48	1.19+-0.49	Warfarin	Itraconazole
0	0	    15	6.2+-7.67	Eplerenone	Lithium
0	0.01	    31	4.81+-13.36	Trospium	Desloratadine
0.01	0	     2	5.5+-6.36	Fluvoxamine	Moclobemide
0	0	    18	2.94+-2.29	Warfarin	Isoniazid
0	0	    57	1+-0	Moxifloxacin	Josamycin
0	0	     3	3.33+-1.53	Trospium	Fluphenazine
0	0	    40	1.77+-2.59	Ketoprofen	Acenocoumarol
0	0	    28	8.04+-10.57	Labetalol	Gliclazide
0	0	    36	3.33+-5.85	Cyclosporine	Ethinylestradiol
0	0	    28	1.71+-1.36	Tacrolimus	Rifampicin
0	0	    29	1.07+-0.26	Famotidine	Itraconazole
0	0	    54	1.07+-0.33	Tetracycline	Acenocoumarol
0	0.01	     1	2+-NA	Disopyramide	Labetalol
0.03	0	     1	1+-NA	Sucralfate	Clodronic acid
0	0	     5	2.2+-0.84	Cyclosporine	Pyrazinamide
0.01	0	     1	1+-NA	Ranolazine	Disopyramide
0	0	    23	1.7+-1.43	Glimepiride	Rifampicin
0	0.01	    41	2.51+-2.71	Labetalol	Formoterol
0	0	    56	1.2+-0.75	Phenoxymethylpenicillin	Methotrexate
0	0	    22	2.59+-2.86	Dihydroergotamine	Isosorbide mononitrate
0	0	    16	2.19+-2.48	Methotrexate	Ketoprofen
0	0	     5	2.4+-1.67	Rivastigmine	Flavoxate
0	0.01	    23	2.52+-3.76	Sotalol	Terbutaline
0	0	    26	1.5+-1.21	Haloperidol	Ketoconazole
0	0.04	     9	4.89+-5.28	Sulindac	Furosemide
0	0	    16	4.62+-7.62	Fosinopril	Tizanidine
0	0	    15	7.4+-12.57	Cyclosporine	Glimepiride
0.01	0	    26	1.73+-1.54	Fluconazole	Nortriptyline
0.01	0	     1	1+-NA	Metoprolol	Disopyramide
0.02	0	     8	3.88+-7.74	Sertraline	Moclobemide
0	0	    44	1.77+-1.52	Celecoxib	Rifampicin
0	0.02	     5	1.6+-0.89	Chlorpropamide	Glucosamine
0	0	    30	1.27+-0.52	Erythromycin	Cilostazol
0	0	     7	12.43+-21	Glipizide	Nadolol
0	0.01	    22	2+-3.61	Primidone	Metronidazole
0	0	     3	2+-1.73	Phenytoin	Cimetidine
0	0	    23	1.65+-2.92	Fluvoxamine	Tizanidine
0	0	     5	1.4+-0.89	Methadone	Carbamazepine
0	0	     5	3.4+-3.78	Trospium	Ketotifen
0	0.01	     9	1.56+-0.73	Cimetidine	Propranolol
0	0	    10	1.8+-1.03	Cyclosporine	Nabumetone
0	0	    21	1+-0	Methotrexate	Tetracycline
0	0	    37	7.03+-17.67	Tizanidine	Donepezil
0	0.02	     4	1.25+-0.5	Nateglinide	Glucosamine
0	0	     5	1.6+-0.89	Cyproheptadine	Rivastigmine
0	0	     3	9+-11.36	Fluvoxamine	Naratriptan
0	0.05	     3	1+-0	Cefoxitin	Acenocoumarol
0	0.01	     2	3+-1.41	Trimipramine	Donepezil
0	0.01	    13	1.62+-1.04	Cimetidine	Acenocoumarol
0	0	     8	1+-0	Imipramine	Ketoconazole
0	0	     2	2.5+-0.71	Trospium	Trifluoperazine
0	0	    13	4+-5.31	Theophylline	Rifampicin
0	0	     2	1+-0	Methadone	Naltrexone
0	0	     4	1.5+-1	Galantamine	Pimozide
0	0	     1	1+-NA	Meperidine	Chlorpromazine
0	0	    48	1.5+-1.13	Ethinylestradiol	Rifampicin
0	0.01	    13	4.23+-5.26	Clozapine	Lisinopril
0	0	    31	9.45+-18.23	Labetalol	Salmeterol
0.03	0	    30	1.27+-1.28	Codeine	Cimetidine
0	0	    14	12+-13.91	Medroxyprogesterone acetate	Phenobarbital
0	0	    25	2.12+-3.66	Ketoconazole	Solifenacin
0	0	     2	9.5+-0.71	Metoprolol	Clonidine
0	0	     1	3+-NA	Cimetidine	Doxepin
0	0	    11	2.18+-3.6	Galantamine	Ketoconazole
0.01	0	     9	1+-0	Doxycycline	Benzylpenicillin
0	0.02	    29	1.55+-2.05	Conjugated estrogens	Prednisone
0	0	    10	1.7+-1.89	Clemastine	Donepezil
0	0.01	    45	1.31+-1	Ranolazine	Clarithromycin
0	0.04	     7	1+-0	Disopyramide	Levofloxacin
0	0.02	    14	1+-0	Tobramycin	Cefuroxime
0	0	    15	6.6+-18.73	Trandolapril	Tizanidine
0	0	    18	1.78+-1	Carbamazepine	Isoniazid
0	0	    29	1.45+-0.99	Fluconazole	Ranolazine
0	0	     7	1.57+-1.13	Trospium	Potassium chloride
0	0	     5	1.2+-0.45	Felodipine	Phenobarbital
0	0	    11	3.36+-2.98	Cyclosporine	Bupropion
0	0	     5	16.6+-13.16	Metoprolol	Glipizide
0	0.01	    35	1.34+-0.91	Griseofulvin	Acetylsalicylic acid
0	0.02	    10	3.2+-2.66	Rifamycin	Atorvastatin
0.02	0	     7	4.71+-5.5	Salmeterol	Oxprenolol
0	0	     5	12.2+-12.79	Cyclosporine	Glipizide
0.01	0	     1	1+-NA	Phenytoin	Chlordiazepoxide
0	0	    43	1.37+-1.4	Digoxin	Minocycline
0	0	    15	1.2+-0.41	Lovastatin	Ketoconazole
0	0	     6	1.67+-0.52	Cyclosporine	Piroxicam
0	0	     5	9.4+-11.5	Clozapine	Donepezil
0	0	     5	12.6+-8.35	Clozapine	Ketazolam
0.04	0	    13	4.92+-8.85	Tramadol	Moclobemide
0	0	     3	1.33+-0.58	Theophylline	Cimetidine
0	0	    46	2.46+-2.71	Levonorgestrel	Carbamazepine
0.01	0	     4	2+-1.41	Propranolol	Chlorpropamide
0	0	     3	1.33+-0.58	Phenytoin	Triazolam
0	0	    14	1+-0	Erythromycin	Sotalol
0	0	     5	3+-3.94	Cyclophosphamide	Warfarin
0	0	    10	5.3+-8.17	Phenytoin	Isoniazid
0	0	    14	1.71+-2.13	Theophylline	Josamycin
0	0	     1	10+-NA	Cimetidine	Triazolam
0	0	    17	2.47+-1.66	Rifampicin	Fluvastatin
0	0	     3	1+-0	Cyproheptadine	Galantamine
0	0	    36	1.03+-0.17	Ethinylestradiol	Ketoconazole
0	0	    27	1.04+-0.19	Erythromycin	Rifampicin
0	0.01	    18	2.56+-4.27	Tenoxicam	Acenocoumarol
0	0	    17	2.53+-2.94	Lidocaine	Nadolol
0	0	     2	1+-0	Phenytoin	Quazepam
0	0	     3	11+-5.57	Phenytoin	Conjugated estrogens
0	0	    16	1.75+-2.24	Imipramine	Terbinafine
0	0	    19	1+-0	Erythromycin	Methylergometrine
0	0	    45	1.2+-0.59	Erythromycin	Colchicine
0	0	    17	1.59+-1.5	Ketoconazole	Tolterodine
0	0	     4	2.75+-2.87	Cimetidine	Carbamazepine
0	0.01	     8	5.25+-7.87	Cimetidine	Fentanyl
0	0.01	     3	7.33+-10.97	Chlorpropamide	Repaglinide
0.02	0	     1	1+-NA	Donepezil	Promethazine
0.01	0	     8	1.25+-0.71	Erythromycin	Triazolam
0	0	     4	2.75+-2.06	Lovastatin	Niacin
0	0	     2	10+-11.31	Rifamycin	Warfarin
0.01	0	    10	2+-1.89	Amitriptyline	Cimetidine
0	0	    22	1.41+-1.14	Theophylline	Terbinafine
0	0	     5	2.2+-2.68	Ziprasidone	Ketoconazole
0	0	    15	7.13+-10.14	Labetalol	Glyburide
0	0.03	     1	1+-NA	Carteolol	Glyburide
0	0	    10	1+-0	Warfarin	Ofloxacin
0	0	    17	1.12+-0.33	Cyclosporine	Erythromycin
0	0	    16	2+-1.86	Cyclosporine	Terbinafine
0	0	    12	2.25+-3.11	Thiethylperazine	Bromocriptine
0	0	     4	1.5+-0.58	Carbamazepine	Dextropropoxyphene
0	0	    66	1.59+-2.19	Donepezil	Cyclobenzaprine
0	0.05	     2	5.5+-0.71	Clodronic acid	Ferrous glycine sulfate
0	0	     6	1.33+-0.52	Telithromycin	Amiodarone
0	0	     1	19+-NA	Clozapine	Triazolam
0	0	     8	6.62+-6.91	Fluvoxamine	Rasagiline
0	0	    12	3+-2.34	Theophylline	Disulfiram
0	0	     1	1+-NA	Clozapine	Modafinil
0	0	    14	4.79+-5.89	Warfarin	Disulfiram
0	0	     7	1.57+-0.79	Imipramine	Rifampicin
0.01	0	     4	2.5+-1.91	Tacrolimus	Danazol
0	0	     3	7+-5.2	Sirolimus	Rifampicin
0.01	0	     1	4+-NA	Galantamine	Trimipramine
0.01	0	    16	1.25+-0.77	Clarithromycin	Everolimus
0	0	    18	4.78+-8.38	Ergotamine	Isosorbide mononitrate
0.01	0	     2	1+-0	Verapamil	Oxprenolol
0	0	     3	3.67+-4.62	Chlorpromazine	Bromocriptine
0	0.01	     1	50+-NA	Disopyramide	Galantamine
0	0	     2	4.5+-4.95	Clozapine	Halazepam
0	0	    10	2+-2.49	Alfuzosin	Ketoconazole
0	0	     4	3+-2.83	Conjugated estrogens	Ursodeoxycholic acid
0	0.02	     8	1.12+-0.35	Amikacin	Cefuroxime
0	0	    12	1.08+-0.29	Doxycycline	Acitretin
0	0	   145	1.22+-1.2	Prednisolone	Acetylsalicylic acid
0	0	     7	1+-0	Felodipine	Josamycin
0	0	    11	1.36+-0.5	Ketoconazole	Aripiprazole
0.03	0	    11	2.82+-4.31	Salbutamol	Moclobemide
0	0	    10	2+-2.16	Ziprasidone	Amiodarone
0	0	     6	1.33+-0.52	Rifampicin	Glipizide
0	0	     5	1.6+-0.89	Cyclosporine	Ketoprofen
0	0	     4	1.75+-0.96	Ergotamine	Isosorbide dinitrate
0	0	     2	7+-8.49	Cimetidine	Flurazepam
0	0	    10	5.7+-9.18	Triamcinolone	Primidone
0	0	    12	8.5+-13.38	Labetalol	Repaglinide
0	0	     2	2.5+-0.71	Rifamycin	Bupropion
0	0.01	    13	1.15+-0.38	Clozapine	Norfloxacin
0	0	    13	1.77+-1.54	Glimepiride	Ketoconazole
0	0	    11	12.09+-12.82	Phenytoin	Medroxyprogesterone acetate
0	0	     2	4.5+-2.12	Phenytoin	Methadone
0	0	     5	1+-0	Betamethasone	Pyridostigmine
0	0	    27	1.22+-0.7	Eplerenone	Itraconazole
0.01	0	     5	2.8+-4.02	Indomethacin	Bumetanide
0	0	    11	2.55+-2.54	Carbamazepine	Ketoconazole
0	0	    19	2.74+-4.2	Warfarin	Meloxicam
0	0	    12	4.33+-4.25	Rifampicin	Bupropion
0	0	     5	1.8+-1.79	Fosinopril	Lithium
0.01	0	     2	3.5+-2.12	Donepezil	Pipotiazine
0	0	    22	1.14+-0.47	Methylprednisolone aceponate	Ketoconazole
0	0.01	     2	17.5+-6.36	Disopyramide	Carvedilol
0	0	    18	4+-8.38	Labetalol	Terbutaline
0	0	    37	3.51+-4.63	Ethinylestradiol	Ursodeoxycholic acid
0	0	     6	1.17+-0.41	Erythromycin	Clozapine
0	0	     2	1.5+-0.71	Phenytoin	Telithromycin
0.09	0	     2	2+-1.41	Alprazolam	Aprepitant
0	0	    11	1.82+-2.4	Sucralfate	Ketoconazole
0	0	    28	1.11+-0.31	Ofloxacin	Ferrous glycine sulfate
0	0	    11	3.18+-3.31	Carbamazepine	Isotretinoin
0	0	     7	1.57+-1.51	Labetalol	Verapamil
0	0	     5	8.4+-7.99	Bromocriptine	Methotrimeprazine
0	0	    22	1.68+-1.81	Pseudoephedrine	Rasagiline
0.11	0	     2	1+-0	Acetylsalicylic acid	Paramethasone
0	0	    16	1.25+-1	Ampicillin	Ethinylestradiol
0	0	    10	1+-0	Sucralfate	Ofloxacin
0	0	     1	1+-NA	Amikacin	Ceftriaxone
0	0	     2	11+-9.9	Trospium	Zuclopenthixol
0	0	    20	1.2+-0.62	Trospium	Cyclobenzaprine
0	0	     3	3+-1.73	Rivastigmine	Periciazine
0	0	    15	2.33+-3.33	Warfarin	Minocycline
0	0	     2	9.5+-12.02	Fluvoxamine	Methadone
0	0.01	    13	1.15+-0.38	Sirolimus	Clarithromycin
0	0	    14	1+-0	Tacrolimus	Ketoconazole
0	0	    12	1+-0	Doxycycline	Ampicillin
0	0	     1	1+-NA	Meperidine	Galantamine
0	0	     3	1+-0	Verapamil	Telithromycin
0	0	     1	8+-NA	Sotalol	Clonidine
0	0.01	     5	3+-3.08	Rifamycin	Acenocoumarol
0.01	0	     2	1.5+-0.71	Propranolol	Isoprenaline
0	0	   115	2.68+-2.55	Enalapril	Drospirenone
0	0	     3	4.67+-6.35	Dihydroergotamine	Isosorbide dinitrate
0	0	     4	3+-4	Warfarin	Fludrocortisone
0	0	    21	2.76+-3.19	Tizanidine	Rivastigmine
0.01	0	     2	3+-2.83	Rizatriptan	Moclobemide
0	0	     6	2.83+-4.49	Clemastine	Rivastigmine
0	0	     2	1+-0	Cimetidine	Ketoconazole
0	0.01	    14	1.14+-0.53	Pimozide	Clarithromycin
0	0	     6	1+-0	Warfarin	Ceftriaxone
0	0	    22	1.05+-0.21	Methylergometrine	Nitroglycerin
0	0	     2	5+-0	Galantamine	Flavoxate
0	0.01	     5	3.2+-4.92	Phenylbutazone	Gliclazide
0	0	    10	1.2+-0.42	Tamoxifen	Rifampicin
0	0	     3	19+-31.18	Donepezil	Periciazine
0	0	     9	2.78+-2.59	Nortriptyline	Terbinafine
0	0	     6	2.67+-2.42	Labetalol	Ergotamine
0	0	     3	1.33+-0.58	Mefenamic acid	Lithium
0	0	     3	1+-0	Sotalol	Piroxicam
0	0	     3	1.33+-0.58	Cilazapril	Lithium
0	0	    46	2.28+-4.11	Cyclobenzaprine	Rivastigmine
0	0	     2	1.5+-0.71	Dihydroergotamine	Naratriptan
0	0	     7	7.14+-9.12	Perindopril	Lithium
0	0	     7	2.29+-3.4	Dihydroergotamine	Ketoconazole
0	0	    28	1.04+-0.19	Itraconazole	Josamycin
0	0	     3	2.33+-2.31	Cimetidine	Clomipramine
0	0	     9	1+-0	Midazolam	Josamycin
0	0	     4	7.25+-7.8	Cyclosporine	Propafenone
0	0	    40	3.7+-6.19	Medroxyprogesterone acetate	Acenocoumarol
0	0	     6	5+-8	Theophylline	Nadolol
0	0	     8	1.38+-1.06	Ergotamine	Ketoconazole
0	0	    22	1.05+-0.21	Rifampicin	Itraconazole
0	0	     8	2.88+-4.91	Epinephrine	Rasagiline
0	0	     9	1.67+-1	Doxycycline	Primidone
0.17	0	     5	2.6+-3.05	Acetaminophen	Imatinib
0	0	     6	12.33+-17.92	Fluvoxamine	Cilostazol
0	0	     1	2+-NA	Interferon alfa-2b	Theophylline
0	0	    12	1+-0	Phenytoin	Mebendazole
0	0	    13	1.15+-0.38	Itraconazole	Ciclesonide
0	0	    11	1.18+-0.4	Nortriptyline	Pseudoephedrine
0	0	     1	1+-NA	Phenytoin	Nisoldipine
0	0	    10	1.1+-0.32	Erythromycin	Eletriptan
0	0	     4	1.5+-0.58	Rosiglitazone	Ketoconazole
0	0	     8	6.12+-10.15	Phenytoin	Norethisterone
0	0.01	     1	6+-NA	Disopyramide	Rivastigmine
0.01	0	     8	2+-1.77	Fluconazole	Triazolam
0	0	     3	1+-0	Morphine	Cimetidine
0	0	     6	1.5+-0.84	Griseofulvin	Estradiol
0	0	     2	1+-0	Dihydroergotamine	Telithromycin
0	0	     1	1+-NA	Galantamine	Moclobemide
0	0	     1	1+-NA	Chlorpropamide	Rifampicin
0	0	    48	1+-0	Doxycycline	Phenoxymethylpenicillin
0	0	     2	6+-1.41	Carbamazepine	Danazol
0	0.01	    10	1.3+-0.95	Trifluoperazine	Levofloxacin
0	0	     2	1+-0	Pramipexole	Cimetidine
0	0	     3	1+-0	Atomoxetine	Propafenone
0	0	     2	1+-0	Trospium	Clemastine
0.02	0	     3	3.67+-4.62	Bisoprolol	Isoprenaline
0	0	     2	1.5+-0.71	Rifampicin	Doxepin
0.01	0	     2	14+-15.56	Digoxin	Penicillamine
0	0	     6	1.33+-0.52	Terbutaline	Doxepin
0	0	    10	2.3+-2.06	Griseofulvin	Acenocoumarol
0	0	     2	1+-0	Lovastatin	Danazol
0	0	     1	6+-NA	Imipramine	Clonidine
0	0	     4	5.75+-9.5	Sotalol	Ergotamine
0	0	     1	1+-NA	Trospium	Doxepin
0.01	0	     2	1+-0	Atenolol	Isoprenaline
0	0.01	     2	1+-0	Trimipramine	Pseudoephedrine
0	0.05	    13	1+-0	Oxytetracycline	Amoxicillin
0	0	     4	1.5+-1	Cyclosporine	Ketoconazole
0	0	     9	1.22+-0.67	Alendronic acid	Mefenamic acid
0.01	0	     4	4.25+-4.27	Itraconazole	Quazepam
0	0	     4	1.25+-0.5	Nortriptyline	Epinephrine
0	0	     1	17+-NA	Dihydroergotamine	Oxprenolol
0	0	     7	8+-10.65	Modafinil	Ethinylestradiol
0	0	     5	1+-0	Ampicillin	Methotrexate
0	0	     3	2.67+-1.53	Primidone	Estriol
0	0	     4	1.25+-0.5	Norethisterone	Primidone
0	0	     9	1+-0	Tetracycline	Insulin Detemir
0	0	     1	4+-NA	Buspirone	Rifampicin
0	0.07	     2	2+-1.41	Imatinib	Simvastatin
0	0	     2	1.5+-0.71	Cyclosporine	Roxithromycin
0	0	     7	1.14+-0.38	Erythromycin	Bromocriptine
0.03	0	     5	1.8+-0.84	Azithromycin	Disopyramide
0	0	     7	1+-0	Warfarin	Tetracycline
0	0	     5	1.4+-0.89	Metoprolol	Epinephrine
0	0	    11	2.27+-4.22	Galantamine	Tizanidine
0	0	    10	1.5+-0.85	Indomethacin	Labetalol
0	0	     7	1.43+-0.79	Lidocaine	Labetalol
0	0	     5	1.2+-0.45	Midazolam	Ketoconazole
0.01	0	     2	1+-0	Amitriptyline	Isoprenaline
0.03	0	     2	1+-0	Furosemide	Streptomycin
0	0	     6	3+-1.26	Theophylline	Isoniazid
0	0	     2	3.5+-2.12	Haloperidol	Rifamycin
0	0	    14	1.29+-0.61	Triamcinolone	Rifampicin
0	0	     4	6.5+-10.34	Piroxicam	Lithium
0	0	     1	3+-NA	Phenytoin	Phenylbutazone
0	0	     3	1+-0	Betamethasone	Primidone
0	0	     2	1+-0	Epinephrine	Doxepin
0	0.01	     1	1+-NA	Bleomycin	Digoxin
0	0	     2	1+-0	Oxycodone	Cimetidine
0	0	     2	2.5+-0.71	Cimetidine	Rivastigmine
0	0	     1	7+-NA	Cimetidine	Halazepam
0	0	    24	1.38+-1.06	Estradiol	Prednisolone
0	0	     4	1+-0	Erythromycin	Pimozide
0.01	0	     2	1+-0	Fluconazole	Chlordiazepoxide
0	0	     8	2.12+-1.36	Naltrexone	Fentanyl
0	0	     6	1.67+-1.21	Pyridostigmine	Triamcinolone
0	0	     2	1+-0	Trifluoperazine	Rivastigmine
0	0	     1	4+-NA	Fluphenazine	Bromocriptine
0	0	     8	1+-0	Erythromycin	Ranolazine
0	0	    12	1+-0	Terbinafine	Rifampicin
0	0	     1	1+-NA	Methotrexate	Sulindac
0.01	0	     4	1.75+-1.5	Dextromethorphan	Moclobemide
0	0	     2	1+-0	Cimetidine	Ketazolam
0	0	     1	1+-NA	Metoprolol	Telithromycin
0	0	    11	12.73+-23.19	Levonorgestrel	Phenobarbital
0	0	     1	4+-NA	Buspirone	Verapamil
0	0	    13	10.77+-22.08	Ethinylestradiol	Phenobarbital
0	0	     4	1+-0	Ketoconazole	Pioglitazone
0	0	     4	1.75+-1.5	Labetalol	Epinephrine
0	0.02	     2	1+-0	Erlotinib	Clarithromycin
0	0	     2	1+-0	Trifluoperazine	Donepezil
0.03	0	     1	1+-NA	Ranitidine	Procainamide
0.02	0	     1	3+-NA	Fluconazole	Vincristine
0	0	     4	1.25+-0.5	Sirolimus	Itraconazole
0	0	     4	1+-0	Piroxicam	Warfarin
0.01	0	     2	1+-0	Indomethacin	Oxprenolol
0	0	     4	1+-0	Tetracycline	Insulin Glulisine
0	0	     3	2.33+-2.31	Piroxicam	Nadolol
0	0	     5	1.2+-0.45	Epinephrine	Nadolol
0	0	     2	1+-0	Triazolam	Josamycin
0	0	     3	1+-0	Griseofulvin	Medroxyprogesterone acetate
0	0	     2	1+-0	Trospium	Levocabastine
0	0	     3	3.67+-1.15	Trospium	Glycopyrronium
0	0	     2	1+-0	Pimozide	Josamycin
0	0	     1	1+-NA	Sulfadiazine	Methotrexate
0	0	     4	1.25+-0.5	Phenylephrine	Imipramine
0	0	     1	1+-NA	Clobazam	Clozapine
0	0	     7	1.29+-0.76	Pseudoephedrine	Bromocriptine
0	0	     5	1.6+-0.89	Warfarin	Isotretinoin
0	0	     6	1+-0	Atomoxetine	Terbinafine
0	0	    16	2.31+-2.6	Isotretinoin	Acenocoumarol
0	0	     3	1.33+-0.58	Dihydroergotamine	Labetalol
0	0	    15	1.07+-0.26	Theophylline	Ethinylestradiol
0	0.03	     1	1+-NA	Imatinib	Atorvastatin
0	0	     2	1+-0	Doxycycline	Rifamycin
0	0.02	     1	1+-NA	Mitotane	Acenocoumarol
0	0	     1	1+-NA	Cyclosporine	Modafinil
0	0	    10	1+-0	Prednisolone	Rifampicin
0	0	     2	1+-0	Warfarin	Mefenamic acid
0	0	     4	1.25+-0.5	Triazolam	Itraconazole
0	0	     4	1.25+-0.5	Pimozide	Itraconazole
0	0	     5	1+-0	Fluconazole	Pimozide
0	0	     8	1.62+-0.92	Ranolazine	Itraconazole
0	0	     4	14.5+-15.93	Estradiol	Primidone
0	0	     2	7.5+-9.19	Rifamycin	Itraconazole
0	0	     4	1+-0	Benzylpenicillin	Acenocoumarol
0	0	     2	1+-0	Piroxicam	Labetalol
0	0	     1	2+-NA	Benazepril	Lithium
0	0	     1	1+-NA	Rifamycin	Clomipramine
0	0	     1	15+-NA	Conjugated estrogens	Phenobarbital
0	0	     2	2.5+-2.12	Benazepril	Tizanidine
0	0	     7	1.14+-0.38	Phenytoin	Prednisolone
0	0	     4	1+-0	Almotriptan	Ketoconazole
0	0	     1	4+-NA	Cimetidine	Midazolam
0.01	0	     2	1.5+-0.71	Terbutaline	Oxprenolol
0	0	     1	6+-NA	Doxepin	Rasagiline
0	0	     1	9+-NA	Primidone	Felodipine
0	0	     1	1+-NA	Cimetidine	Galantamine
0	0	     3	3+-2	Phenylbutazone	Acenocoumarol
0	0	    30	1.2+-0.76	Prednisolone	Acenocoumarol
0	0	     5	1.2+-0.45	Dihydroergotamine	Josamycin
0	0	     3	1.67+-1.15	Trospium	Azelastine
0	0	     3	1+-0	Tizanidine	Cilazapril
0	0	     2	1+-0	Tacrolimus	Telithromycin
0	0	     2	13.5+-2.12	Dihydroergotamine	Sotalol
0	0	     7	1+-0	Fluorouracil	Metronidazole
0.01	0	     1	1+-NA	Doxycycline	Aztreonam
0	0	     1	10+-NA	Hydromorphone	Naltrexone
0	0	     1	2+-NA	Perphenazine	Bromocriptine
0	0.01	     2	1+-0	Oxytetracycline	Cloxacillin
0	0	     1	5+-NA	Galantamine	Doxepin
0	0	     3	1.33+-0.58	Imipramine	Epinephrine
0	0	     2	1.5+-0.71	Ampicillin	Tetracycline
0	0	     1	22+-NA	Cyclosporine	Mefenamic acid
0	0	     3	1+-0	Tetracycline	Quinapril
0	0	    28	4.14+-4.41	Losartan	Drospirenone
0	0	     1	7+-NA	Cyclosporine	Flurbiprofen
0	0	     3	1+-0	Etidronic acid	Ferrous glycine sulfate
0	0	     2	2+-1.41	Amitriptyline	Rifamycin
0	0	     3	1+-0	Ketoconazole	Cilostazol
0	0.01	     2	1+-0	Disopyramide	Clarithromycin
0	0	     3	3+-3.46	Morphine	Naltrexone
0	0	     1	6+-NA	Fluvoxamine	Selegiline
0	0	     8	1+-0	Digoxin	Tetracycline
0	0	     1	2+-NA	Nimodipine	Cimetidine
0	0	     2	1+-0	Ampicillin	Warfarin
0	0	     2	1.5+-0.71	Methotrexate	Mefenamic acid
0	0	     1	1+-NA	Cimetidine	Warfarin
0	0	     1	1+-NA	Griseofulvin	Phenobarbital
0	0	     1	3+-NA	Cyclosporine	Tenoxicam
0	0	     1	1+-NA	Sucralfate	Etidronic acid
0	0	     1	1+-NA	Digoxin	Oxytetracycline
0	0	     1	2+-NA	Clozapine	Rifampicin
0	0	     1	2+-NA	Atomoxetine	Perphenazine
0	0	     1	1+-NA	Dextropropoxyphene	Warfarin
0	0	    13	1.08+-0.28	Phenoxymethylpenicillin	Minocycline
0	0	     2	1.5+-0.71	Rosiglitazone	Rifampicin
0	0	     2	1+-0	Acitretin	Norethisterone
0	0	     1	1+-NA	Trospium	Chlorpromazine
0	0	     1	1+-NA	Warfarin	Mercaptopurine
0	0	     3	1+-0	Isoniazid	Ketoconazole
0	0	     2	1+-0	Erythromycin	Sirolimus
0	0.02	     1	1+-NA	Promethazine	Levofloxacin
0	0	     2	1+-0	Erythromycin	Everolimus
0	0	    18	2.83+-2.77	Lisinopril	Drospirenone
0.01	0	     2	1.5+-0.71	Formoterol	Oxprenolol
0	0	     2	1.5+-0.71	Flurazepam	Ketoconazole
0	0	     1	1+-NA	Entacapone	Epinephrine
0	0	    11	1+-0	Tetracycline	Cloxacillin
0	0	     4	1+-0	Ergotamine	Josamycin
0	0	    20	1.1+-0.45	Prednisolone	Ethinylestradiol
0	0	    11	1.18+-0.4	Galantamine	Cyclobenzaprine
0	0	     1	1+-NA	Rivastigmine	Diphenhydramine
0	0	    16	1.19+-0.54	Prednisolone	Itraconazole
0	0	     1	1+-NA	Carbamazepine	Telithromycin
0	0	     1	1+-NA	Clozapine	Josamycin
0	0	     2	1+-0	Cimetidine	Itraconazole
0	0	     1	1+-NA	Tizanidine	Spirapril
0	0	     1	1+-NA	Methotrexate	Benzylpenicillin
0	0	     1	2+-NA	Lovastatin	Telithromycin
0	0	    12	1.92+-1.16	Olmesartan	Drospirenone
0	0	     2	1+-0	Methylergometrine	Almotriptan
0	0	    13	5.23+-3.61	Ramipril	Drospirenone
0	0	     4	12+-14.67	Medroxyprogesterone acetate	Warfarin
0	0	     2	1+-0	Pseudoephedrine	Doxepin
0	0.01	     2	1+-0	Buspirone	Clarithromycin
0	0	     1	1+-NA	Buspirone	Itraconazole
0	0	     3	1+-0	Rifampicin	Josamycin
0	0	     2	1+-0	Cyclosporine	Josamycin
0	0	     1	1+-NA	Pseudoephedrine	Moclobemide
0	0	     4	1+-0	Phenylephrine	Clomipramine
0	0	     1	1+-NA	Warfarin	Flurbiprofen
0	0	     2	1+-0	Methylergometrine	Epinephrine
0	0	     2	1+-0	Ethinylestradiol	Benzylpenicillin
0	0	     1	1+-NA	Phenylbutazone	Glyburide
0	0	    27	3.19+-5.03	Ethinylestradiol	Acenocoumarol
0	0	     1	3+-NA	Conjugated estrogens	Raloxifene
0	0	     2	1.5+-0.71	Ketoconazole	Rifampicin
0	0	     9	2+-3	Amitriptyline	Phenylephrine
0	0	     2	1+-0	Tetracycline	Isotretinoin
0	0	     1	1+-NA	Lidocaine	Cimetidine
0	0	     2	6.5+-3.54	Warfarin	Ketoconazole
0	0	     1	7+-NA	Atomoxetine	Rasagiline
0	0	     2	1+-0	Pyridostigmine	Prednisolone
0	0	     1	1+-NA	Warfarin	Capecitabine
0	0	     1	1+-NA	Nortriptyline	Rifampicin
0	0	     2	2+-0	Norethisterone	Pioglitazone
0	0	     1	1+-NA	Famotidine	Ketoconazole
0	0	     1	1+-NA	Bromocriptine	Josamycin
0	0.03	     1	1+-NA	Carteolol	Ibuprofen
0	0	     1	1+-NA	Phenylephrine	Nortriptyline
0	0	     3	1+-0	Prednisolone	Ketoconazole
